畅唐网络,12k-24k,经验3-5年 / 本科,"“15薪以上,团队氛围好,全额公积金,培训完善”",C++工程师,北京·学院路
欢乐逛,8k-16k,经验1-3年 / 本科,"“福利多多,六险一金,腾讯团队,大牛多多”",C++开发工程师,北京·学院路
zilliz,25k-50k,经验3-5年 / 本科,"“发展空间大,精英团队,丰厚福利,弹性工作”",C++开发工程师,北京·学院路
ZOOM,13k-25k,经验1-3年 / 本科,"“五险一金,国外工作,弹性工作,股票期权”",C++软件工程师,北京·学院路
Mobvista,20k-30k,经验1-3年 / 本科,"“技术氛围,大牛指导,绩效奖金,优质三餐”",C++,北京·学院路
招银网络科技,15k-25k,经验3-5年 / 本科,“不断创新的业务模式，持续升级的技术改造”,C++开发工程师,北京·学院路
京东商城,25k-45k,经验3-5年 / 本科,"“大平台,技术大牛,弹性工作,餐补”",C++,北京·学院路
顺网科技,15k-25k,经验3-5年 / 本科,"“上市公司,技术实力强,工作氛围好,发展空间大”",C++开发工程师,北京·学院路
一起作业网,20k-40k,经验1-3年 / 本科,"“发展快,平台大,薪酬高”",C++研发工程师,北京·学院路
亲宝宝,8k-15k,经验1-3年 / 本科,"“B轮机会,扁平管理,免费体检,餐补”",C++开发工程师,北京·学院路
商汤科技,15k-30k,经验3-5年 / 本科,"“AI独角兽,前景广阔,福利齐全,技术领先”",C++,北京·学院路
tap4fun,15k-30k,经验不限 / 本科,“六险一金”,C++开发工程师,北京·学院路
平安证券,15k-30k,经验3-5年 / 本科,"“激励丰富,氛围和谐,国际化团队,培训机会”",C++软件开发工程师,北京·学院路
欢聚时代（YY Inc）,15k-30k,经验3-5年 / 本科,"“直播,大平台,互联网,专业度高”",C++开发工程师,北京·学院路
畅唐网络,10k-20k,经验1-3年 / 本科,"“15薪以上,团队氛围好,全额公积金”",C++开发工程师,杭州·西兴
zilliz,25k-50k,经验3-5年 / 本科,"“丰厚期权,行业高薪,前沿技术,精英团队”",C++开发工程师,杭州·西兴
京东商城,15k-30k,经验3-5年 / 本科,"“发展好,平台大,待遇好,机会多”",C++开发工程师,杭州·西兴
商汤科技,20k-35k,经验3-5年 / 本科,"“技术大牛,环境好,晋升空间大,奋斗团队”",C++开发工程师,杭州·西兴
顺网科技,10k-15k,经验1-3年 / 本科,"“上市公司,技术实力强,发展空间大,薪酬福利好”",C++开发工程师,杭州·西兴
北京博视智动,13k-25k,经验不限 / 本科,"“工作居住证,年终奖,补充医疗保,行业发展好”",C++软件工程师,杭州·西兴
极光,15k-25k,经验3-5年 / 本科,"“五险一金,年终奖金,弹性工作,技术氛围好”",后台 C/C++ 软件研发工程师,杭州·西兴
搜狗,20k-40k,经验5-10年 / 本科,“公司级战略重点项目，核心部门”,图片搜索-C++开发工程师-,杭州·西兴
美团点评,40k-55k,经验3-5年 / 本科,"“高薪待遇,期权激励”",高级C++研发工程师,杭州·西兴
链家,15k-30k,经验3-5年 / 本科,“领先技术 卓越平台 优秀团队 专业培训”,C++研发工程师,杭州·西兴
武汉佰钧成技术有限公司,7k-14k,经验1-3年 / 本科,“运营商”,C++开发,杭州·西兴
爱奇艺,20k-30k,经验5-10年 / 本科,“发展前景好、团队氛围好”,C++开发工程师,杭州·西兴
欢聚时代（YY Inc）,15k-30k,经验不限 / 不限,"“平台大,机会多,春季专场”",2018春季社招-C++开发工程师,杭州·西兴
佳讯飞鸿,10k-20k,经验3-5年 / 本科,"“七险一金,餐补,年终奖,带薪年假”",C++开发工程师,杭州·西兴
坤亿科技,14K-18K,经验3-5年 / 本科,“五险一金 一年13薪 弹性工作 不加班”,C++开发工程师,杭州·西兴
zilliz,25k-50k,经验3-5年 / 本科,"“丰厚期权,行业高薪,前沿技术,精英团队”",C++开发工程师,上海·徐汇区
商汤科技,18k-36k,经验1-3年 / 本科,"“AI独角兽,公司前景”",C++研发工程师  ,上海·徐汇区
顺网科技,15k-30k,经验3-5年 / 大专,"“上市公司,重点项目,五险一金,双休”",C++开发工程师（云无盘）,上海·徐汇区
京东商城,15k-30k,经验3-5年 / 本科,“年底双薪 免费班车 弹性工作 午餐补助”,C++开发工程师,上海·徐汇区
畅唐网络,10k-20k,经验1-3年 / 本科,"“15薪以上,队氛围好,全额公积金”",C++开发工程师,上海·徐汇区
搜狗,15k-30k,经验1-3年 / 本科,“充满无限的挑战与机遇”,应用搜索-C++开发工程师,上海·徐汇区
美团点评,35k-45k,经验3-5年 / 本科,"“五险一金,期权绩效,免费班车”",高级C++研发工程师,上海·徐汇区
Face++,18k-35k,经验3-5年 / 本科,"“黑科技,极客团队”",C++开发工程师（深圳）,上海·徐汇区
东信北邮,3k-6k,经验不限 / 本科,"“福利多,假期多,弹性工作制,五险一金”",C++研发工程师,上海·徐汇区
红杉树,8k-12k,经验1-3年 / 大专,"“扁平化管理,牛人领导”",C++开发工程师,上海·徐汇区
小狗机器人,10k-20k,经验1-3年 / 本科,"“弹性时间,资金充足”",C++工程师,上海·徐汇区
链钱集团,10k-15k,经验1-3年 / 本科,"“团队精神,学习能力”",C++,上海·徐汇区
晶泰科技,16k-25k,经验3-5年 / 本科,"“成长空间大,大牛多,弹性工作”",高级 C++ 软件开发工程师,上海·徐汇区
捷通华声,15k-25k,经验1-3年 / 本科,“五险一金、绩效工资、项目奖金、半年调薪”,C++开发工程师,上海·徐汇区
ZOOM,12k-24k,经验1-3年 / 本科,"“薪水福利好,技术挑战高,发展空间大,原始股权”",高级C++开发工程师,上海·徐汇区
zilliz,25k-50k,经验3-5年 / 本科,"“丰厚福利,技术前沿,精英团队,行业高薪”",C++开发工程师,杭州·仓前
京东商城,20k-40k,经验3-5年 / 本科,"“平台大,发展好”",C++开发工程师,杭州·仓前
